SampleNumber ,UNIXTimestamp,HeartRate,BloodOxygen,BodyTemp
244,1.62E+12,77,97,30
245,1.62E+12,77,97,30
246,1.62E+12,77,97,30
247,1.62E+12,77,97,30
248,1.62E+12,77,97,30
249,1.62E+12,77,97,30
250,1.62E+12,77,97,30
251,1.62E+12,77,97,30
252,1.62E+12,77,97,30
253,1.62E+12,77,97,30
254,1.62E+12,77,97,30
255,1.62E+12,77,97,30
256,1.62E+12,77,97,30
257,1.62E+12,77,97,30
258,1.62E+12,77,97,30
259,1.62E+12,77,97,30
260,1.62E+12,77,97,30
261,1.62E+12,77,97,30
262,1.62E+12,77,97,30
263,1.62E+12,77,97,30
264,1.62E+12,77,97,30
265,1.62E+12,77,97,30
266,1.62E+12,77,97,30
267,1.62E+12,77,97,30
268,1.62E+12,77,97,30
269,1.62E+12,77,97,30
270,1.62E+12,77,97,30
271,1.62E+12,77,97,30
272,1.62E+12,77,97,30
273,1.62E+12,77,97,30
274,1.62E+12,77,97,30
275,1.62E+12,77,97,30
276,1.62E+12,77,97,30
277,1.62E+12,77,97,30
278,1.62E+12,77,97,30
279,1.62E+12,77,97,30
280,1.62E+12,77,97,30
281,1.62E+12,77,97,30
282,1.62E+12,77,97,30
283,1.62E+12,77,97,30
284,1.62E+12,77,97,30
285,1.62E+12,77,97,30
286,1.62E+12,77,97,30
287,1.62E+12,77,97,30
288,1.62E+12,77,97,30
289,1.62E+12,77,97,30
290,1.62E+12,77,97,30
291,1.62E+12,77,97,30
292,1.62E+12,77,97,30
293,1.62E+12,77,97,30
294,1.62E+12,77,97,30
295,1.62E+12,77,97,30
296,1.62E+12,77,97,30
297,1.62E+12,77,97,30
298,1.62E+12,77,97,30
299,1.62E+12,77,97,30
300,1.62E+12,77,97,30
301,1.62E+12,77,97,30
302,1.62E+12,77,97,30
303,1.62E+12,77,97,30
304,1.62E+12,77,97,30
305,1.62E+12,77,97,30
306,1.62E+12,77,97,30
307,1.62E+12,77,97,30
308,1.62E+12,77,97,30
309,1.62E+12,77,97,30
310,1.62E+12,77,97,30
311,1.62E+12,77,97,30
312,1.62E+12,77,97,30
313,1.62E+12,77,97,30
314,1.62E+12,77,97,30
315,1.62E+12,77,97,30
316,1.62E+12,77,97,30
317,1.62E+12,77,97,30
318,1.62E+12,77,97,30
319,1.62E+12,77,97,30
320,1.62E+12,77,97,30
321,1.62E+12,77,97,30
322,1.62E+12,77,97,30
323,1.62E+12,77,97,30
324,1.62E+12,77,97,30
325,1.62E+12,77,97,30
326,1.62E+12,77,97,30
327,1.62E+12,77,97,30
328,1.62E+12,77,97,30
329,1.62E+12,77,97,30
330,1.62E+12,77,97,30
331,1.62E+12,77,97,30
332,1.62E+12,77,97,30
333,1.62E+12,77,97,30
334,1.62E+12,77,97,30
335,1.62E+12,77,97,30
336,1.62E+12,77,97,30
337,1.62E+12,77,97,30
338,1.62E+12,77,97,30
339,1.62E+12,77,97,30
340,1.62E+12,77,97,30
341,1.62E+12,77,97,30
342,1.62E+12,77,97,30
343,1.62E+12,77,97,30
344,1.62E+12,77,97,30
345,1.62E+12,77,97,30
346,1.62E+12,77,97,30
347,1.62E+12,77,97,30
348,1.62E+12,77,97,30
349,1.62E+12,77,97,30
350,1.62E+12,77,97,30
351,1.62E+12,77,97,30
352,1.62E+12,77,97,30
353,1.62E+12,77,97,30
354,1.62E+12,77,97,30
355,1.62E+12,77,97,30
356,1.62E+12,77,97,30
357,1.62E+12,77,97,30
358,1.62E+12,77,97,30
359,1.62E+12,77,97,30
360,1.62E+12,77,97,30
361,1.62E+12,77,97,30
362,1.62E+12,77,97,30
363,1.62E+12,77,97,30
364,1.62E+12,77,97,30
365,1.62E+12,77,97,30
366,1.62E+12,77,97,30
367,1.62E+12,77,97,30
368,1.62E+12,77,97,30
369,1.62E+12,77,97,30
370,1.62E+12,77,97,30
371,1.62E+12,77,97,30
372,1.62E+12,77,97,30
373,1.62E+12,77,97,30
374,1.62E+12,77,97,30
375,1.62E+12,77,97,30
376,1.62E+12,77,97,30
377,1.62E+12,77,97,30
378,1.62E+12,77,97,30
379,1.62E+12,77,97,30
380,1.62E+12,77,97,30
381,1.62E+12,77,97,30
382,1.62E+12,77,97,30
383,1.62E+12,77,97,30
384,1.62E+12,77,97,30
385,1.62E+12,77,97,30
386,1.62E+12,77,97,30
387,1.62E+12,77,97,30
388,1.62E+12,77,97,30
389,1.62E+12,77,97,30
390,1.62E+12,77,97,30
391,1.62E+12,77,97,30
392,1.62E+12,77,97,30
393,1.62E+12,77,97,30
394,1.62E+12,77,97,30
395,1.62E+12,77,97,30
396,1.62E+12,77,97,30
397,1.62E+12,77,97,30
398,1.62E+12,77,97,30
399,1.62E+12,77,97,30
400,1.62E+12,77,97,30
401,1.62E+12,77,97,30
402,1.62E+12,77,97,30
403,1.62E+12,77,97,30
404,1.62E+12,77,97,30
405,1.62E+12,77,97,30
406,1.62E+12,77,97,30
407,1.62E+12,77,97,30
408,1.62E+12,77,97,30
409,1.62E+12,77,97,30
410,1.62E+12,77,97,30
411,1.62E+12,77,97,30
412,1.62E+12,77,97,30
413,1.62E+12,77,97,30
414,1.62E+12,77,97,30
415,1.62E+12,77,97,30
416,1.62E+12,77,97,30
417,1.62E+12,77,97,30
418,1.62E+12,77,97,30
419,1.62E+12,77,97,30
420,1.62E+12,77,97,30
421,1.62E+12,77,97,30
422,1.62E+12,77,97,30
423,1.62E+12,77,97,30
424,1.62E+12,77,97,30
425,1.62E+12,77,97,30
426,1.62E+12,77,97,30
427,1.62E+12,77,97,30
428,1.62E+12,77,97,30
429,1.62E+12,77,97,30
430,1.62E+12,77,97,30
431,1.62E+12,77,97,30
432,1.62E+12,77,97,30
433,1.62E+12,77,97,30
434,1.62E+12,77,97,30
435,1.62E+12,77,97,30
436,1.62E+12,77,97,30
437,1.62E+12,77,97,30
438,1.62E+12,77,97,30
439,1.62E+12,77,97,30
440,1.62E+12,77,97,30
441,1.62E+12,77,97,30
442,1.62E+12,77,97,30
443,1.62E+12,77,97,30
444,1.62E+12,77,97,30
445,1.62E+12,77,97,30
446,1.62E+12,77,97,30
447,1.62E+12,77,97,30
448,1.62E+12,77,97,30
449,1.62E+12,77,97,30
450,1.62E+12,77,97,30
451,1.62E+12,77,97,30
452,1.62E+12,77,97,30
453,1.62E+12,77,97,30
454,1.62E+12,77,97,30
455,1.62E+12,77,97,30
456,1.62E+12,77,97,30
457,1.62E+12,77,97,30
458,1.62E+12,77,97,30
459,1.62E+12,77,97,30
460,1.62E+12,77,97,30
461,1.62E+12,77,97,30
462,1.62E+12,77,97,30
463,1.62E+12,77,97,30
464,1.62E+12,77,97,30
465,1.62E+12,77,97,30
466,1.62E+12,77,97,30
467,1.62E+12,77,97,30
468,1.62E+12,77,97,30
469,1.62E+12,77,97,30
470,1.62E+12,77,97,30
471,1.62E+12,77,97,30
472,1.62E+12,77,97,30
473,1.62E+12,77,97,30
474,1.62E+12,77,97,30
475,1.62E+12,77,97,30
476,1.62E+12,77,97,30
477,1.62E+12,77,97,30
478,1.62E+12,77,97,30
479,1.62E+12,77,97,30
480,1.62E+12,77,97,30
481,1.62E+12,77,97,30
482,1.62E+12,77,97,30
483,1.62E+12,77,97,30
484,1.62E+12,77,97,30
485,1.62E+12,77,97,30
486,1.62E+12,77,97,30
487,1.62E+12,77,97,30
488,1.62E+12,77,97,30
489,1.62E+12,77,97,30
490,1.62E+12,77,97,30
491,1.62E+12,77,97,30
492,1.62E+12,77,97,30
493,1.62E+12,77,97,30
494,1.62E+12,77,97,30
495,1.62E+12,77,97,30
496,1.62E+12,77,97,30
497,1.62E+12,77,97,30
498,1.62E+12,77,97,30
499,1.62E+12,77,97,30
500,1.62E+12,77,97,30
501,1.62E+12,77,97,30
502,1.62E+12,77,97,30
503,1.62E+12,77,97,30
504,1.62E+12,77,97,30
505,1.62E+12,77,97,30
506,1.62E+12,77,97,30
507,1.62E+12,77,97,30
508,1.62E+12,77,97,30
509,1.62E+12,77,97,30
510,1.62E+12,77,97,30
511,1.62E+12,77,97,30
512,1.62E+12,77,97,30
513,1.62E+12,77,97,30
514,1.62E+12,77,97,30
515,1.62E+12,77,97,30
516,1.62E+12,77,97,30
517,1.62E+12,77,97,30
518,1.62E+12,77,97,30
519,1.62E+12,77,97,30
520,1.62E+12,77,97,30
521,1.62E+12,77,97,30
522,1.62E+12,77,97,30
523,1.62E+12,77,97,30
524,1.62E+12,77,97,30
525,1.62E+12,77,97,30
526,1.62E+12,77,97,30
527,1.62E+12,77,97,30
528,1.62E+12,77,97,30
529,1.62E+12,77,97,30
530,1.62E+12,77,97,30
531,1.62E+12,77,97,30
532,1.62E+12,77,97,30
533,1.62E+12,77,97,30
534,1.62E+12,77,97,30
535,1.62E+12,77,97,30
536,1.62E+12,77,97,30
537,1.62E+12,77,97,30
538,1.62E+12,77,97,30
539,1.62E+12,77,97,30
540,1.62E+12,77,97,30
541,1.62E+12,77,97,30
542,1.62E+12,77,97,30
543,1.62E+12,77,97,30
544,1.62E+12,77,97,30
545,1.62E+12,77,97,30
546,1.62E+12,77,97,30
547,1.62E+12,77,97,30
548,1.62E+12,77,97,30
549,1.62E+12,77,97,30
550,1.62E+12,77,97,30
551,1.62E+12,77,97,30
552,1.62E+12,77,97,30
553,1.62E+12,77,97,30
554,1.62E+12,77,97,30
555,1.62E+12,77,97,30
556,1.62E+12,77,97,30
557,1.62E+12,77,97,30
558,1.62E+12,77,97,30
559,1.62E+12,77,97,30
560,1.62E+12,77,97,30
561,1.62E+12,77,97,30
562,1.62E+12,77,97,30
563,1.62E+12,77,97,30
564,1.62E+12,77,97,30
565,1.62E+12,77,97,30
566,1.62E+12,77,97,30
567,1.62E+12,77,97,30
568,1.62E+12,77,97,30
569,1.62E+12,77,97,30
570,1.62E+12,77,97,30
571,1.62E+12,77,97,30
572,1.62E+12,77,97,30
573,1.62E+12,77,97,30
574,1.62E+12,77,97,30
575,1.62E+12,77,97,30
576,1.62E+12,77,97,30
577,1.62E+12,77,97,30
578,1.62E+12,77,97,30
579,1.62E+12,77,97,30
580,1.62E+12,77,97,30
581,1.62E+12,77,97,30
582,1.62E+12,77,97,30
583,1.62E+12,77,97,30
584,1.62E+12,77,97,30
585,1.62E+12,77,97,30
586,1.62E+12,77,97,30
587,1.62E+12,77,97,30
588,1.62E+12,77,97,30
589,1.62E+12,77,97,30
590,1.62E+12,77,97,30
591,1.62E+12,77,97,30
592,1.62E+12,77,97,30
593,1.62E+12,77,97,30
594,1.62E+12,77,97,30
595,1.62E+12,77,97,30
596,1.62E+12,77,97,30
597,1.62E+12,77,97,30
598,1.62E+12,77,97,30
599,1.62E+12,77,97,30
600,1.62E+12,77,97,30
601,1.62E+12,77,97,30
602,1.62E+12,77,97,30
603,1.62E+12,77,97,30
604,1.62E+12,77,97,30
605,1.62E+12,77,97,30
606,1.62E+12,77,97,30
607,1.62E+12,77,97,30
608,1.62E+12,77,97,30
609,1.62E+12,77,97,30
610,1.62E+12,77,97,30
611,1.62E+12,77,97,30
612,1.62E+12,77,97,30
613,1.62E+12,77,97,30
614,1.62E+12,77,97,30
615,1.62E+12,77,97,30
616,1.62E+12,77,97,30
617,1.62E+12,77,97,30
618,1.62E+12,77,97,30
619,1.62E+12,77,97,30
620,1.62E+12,77,97,30
621,1.62E+12,77,97,30
622,1.62E+12,77,97,30
623,1.62E+12,77,97,30
624,1.62E+12,77,97,30
625,1.62E+12,77,97,30
626,1.62E+12,77,97,30
627,1.62E+12,77,97,30
628,1.62E+12,77,97,30
629,1.62E+12,77,97,30
630,1.62E+12,77,97,30
631,1.62E+12,77,97,30
632,1.62E+12,77,97,30
633,1.62E+12,77,97,30
634,1.62E+12,77,97,30
635,1.62E+12,77,97,30
636,1.62E+12,77,97,30
637,1.62E+12,77,97,30
638,1.62E+12,77,97,30
639,1.62E+12,77,97,30
640,1.62E+12,77,97,30
641,1.62E+12,77,97,30
642,1.62E+12,77,97,30
643,1.62E+12,77,97,30
644,1.62E+12,77,97,30
645,1.62E+12,77,97,30
646,1.62E+12,77,97,30
647,1.62E+12,77,97,30
648,1.62E+12,77,97,30
649,1.62E+12,77,97,30
650,1.62E+12,77,97,30
651,1.62E+12,77,97,30
652,1.62E+12,77,97,30
653,1.62E+12,77,97,30
654,1.62E+12,77,97,30
655,1.62E+12,77,97,30
656,1.62E+12,77,97,30
657,1.62E+12,77,97,30
658,1.62E+12,77,97,30
659,1.62E+12,77,97,30
660,1.62E+12,77,97,30
661,1.62E+12,77,97,30
662,1.62E+12,77,97,30
663,1.62E+12,77,97,30
664,1.62E+12,77,97,30
665,1.62E+12,77,97,30
666,1.62E+12,77,97,30
667,1.62E+12,77,97,30
668,1.62E+12,77,97,30
669,1.62E+12,77,97,30
670,1.62E+12,77,97,30
671,1.62E+12,77,97,30
672,1.62E+12,77,97,30
673,1.62E+12,77,97,30
674,1.62E+12,77,97,30
675,1.62E+12,77,97,30
676,1.62E+12,77,97,30
677,1.62E+12,77,97,30
678,1.62E+12,77,97,30
679,1.62E+12,77,97,30
680,1.62E+12,77,97,30
681,1.62E+12,77,97,30
682,1.62E+12,77,97,30
683,1.62E+12,77,97,30
684,1.62E+12,77,97,30
685,1.62E+12,77,97,30
686,1.62E+12,77,97,30
687,1.62E+12,77,97,30
688,1.62E+12,77,97,30
689,1.62E+12,77,97,30
690,1.62E+12,77,97,30
691,1.62E+12,77,97,30
692,1.62E+12,77,97,30
693,1.62E+12,77,97,30
694,1.62E+12,77,97,30
695,1.62E+12,77,97,30
696,1.62E+12,77,97,30
697,1.62E+12,77,97,30
698,1.62E+12,77,97,30
699,1.62E+12,77,97,30
700,1.62E+12,77,97,30
701,1.62E+12,77,97,30
702,1.62E+12,77,97,30
703,1.62E+12,77,97,30
704,1.62E+12,77,97,30
705,1.62E+12,77,97,30
706,1.62E+12,77,97,30
707,1.62E+12,77,97,30
708,1.62E+12,77,97,30
709,1.62E+12,77,97,30
710,1.62E+12,77,97,30
711,1.62E+12,77,97,30
712,1.62E+12,77,97,30
713,1.62E+12,77,97,30
714,1.62E+12,77,97,30
715,1.62E+12,77,97,30
716,1.62E+12,77,97,30
717,1.62E+12,77,97,30
718,1.62E+12,77,97,30
719,1.62E+12,77,97,30
720,1.62E+12,77,97,30
721,1.62E+12,77,97,30
722,1.62E+12,77,97,30
723,1.62E+12,77,97,30
724,1.62E+12,77,97,30
725,1.62E+12,77,97,30
726,1.62E+12,77,97,30
727,1.62E+12,77,97,30
728,1.62E+12,77,97,30
729,1.62E+12,77,97,30
730,1.62E+12,77,97,30
731,1.62E+12,77,97,30
732,1.62E+12,77,97,30
733,1.62E+12,77,97,30
734,1.62E+12,77,97,30
735,1.62E+12,77,97,30
736,1.62E+12,77,97,30
737,1.62E+12,77,97,30
738,1.62E+12,77,97,30
739,1.62E+12,77,97,30
740,1.62E+12,77,97,30
741,1.62E+12,77,97,30
742,1.62E+12,77,97,30
743,1.62E+12,77,97,30
744,1.62E+12,77,97,30
745,1.62E+12,77,97,30
746,1.62E+12,77,97,30
747,1.62E+12,77,97,30
748,1.62E+12,77,97,30
749,1.62E+12,77,97,30
750,1.62E+12,77,97,30
751,1.62E+12,77,97,30
752,1.62E+12,77,97,30
753,1.62E+12,77,97,30
754,1.62E+12,77,97,30
755,1.62E+12,77,97,30
756,1.62E+12,77,97,30
757,1.62E+12,77,97,30
758,1.62E+12,77,97,30
759,1.62E+12,77,97,30
760,1.62E+12,77,97,30
761,1.62E+12,77,97,30
762,1.62E+12,77,97,30
763,1.62E+12,77,97,30
764,1.62E+12,77,97,30
765,1.62E+12,77,97,30
766,1.62E+12,77,97,30
767,1.62E+12,77,97,30
768,1.62E+12,77,97,30
769,1.62E+12,77,97,30
770,1.62E+12,77,97,30
771,1.62E+12,77,97,30
772,1.62E+12,77,97,30
773,1.62E+12,77,97,30
774,1.62E+12,77,97,30
775,1.62E+12,77,97,30
776,1.62E+12,77,97,30
777,1.62E+12,77,97,30
778,1.62E+12,77,97,30
779,1.62E+12,77,97,30
780,1.62E+12,77,97,30
781,1.62E+12,77,97,30
782,1.62E+12,77,97,30
783,1.62E+12,77,97,30
784,1.62E+12,77,97,30
785,1.62E+12,77,97,30
786,1.62E+12,77,97,30
787,1.62E+12,77,97,30
788,1.62E+12,80,96,30
789,1.62E+12,80,96,30
790,1.62E+12,80,96,30
791,1.62E+12,80,96,30
792,1.62E+12,80,96,30
793,1.62E+12,80,96,30
794,1.62E+12,80,96,30
795,1.62E+12,80,96,30
796,1.62E+12,80,96,30
797,1.62E+12,80,96,30
798,1.62E+12,80,96,30
799,1.62E+12,80,96,30
800,1.62E+12,80,96,30
801,1.62E+12,80,96,30
802,1.62E+12,80,96,30
803,1.62E+12,80,96,30
804,1.62E+12,80,96,30
805,1.62E+12,80,96,30
806,1.62E+12,80,96,30
807,1.62E+12,80,96,30
808,1.62E+12,80,96,30
809,1.62E+12,80,96,30
810,1.62E+12,80,96,30
811,1.62E+12,80,96,30
812,1.62E+12,80,96,30
813,1.62E+12,80,96,30
814,1.62E+12,80,96,30
815,1.62E+12,80,96,30
816,1.62E+12,80,96,30
817,1.62E+12,80,96,30
818,1.62E+12,80,96,30
819,1.62E+12,80,96,30
820,1.62E+12,80,96,30
821,1.62E+12,80,96,30
822,1.62E+12,80,96,30
823,1.62E+12,80,96,30
824,1.62E+12,80,96,30
825,1.62E+12,80,96,30
826,1.62E+12,80,96,30
827,1.62E+12,80,96,30
828,1.62E+12,80,96,30
829,1.62E+12,80,96,30
830,1.62E+12,80,96,30
831,1.62E+12,80,96,30
832,1.62E+12,80,96,30
833,1.62E+12,80,96,30
834,1.62E+12,80,96,30
835,1.62E+12,80,96,30
836,1.62E+12,80,96,30
837,1.62E+12,80,96,30
838,1.62E+12,80,96,30
839,1.62E+12,80,96,30
840,1.62E+12,80,96,30
841,1.62E+12,80,96,30
842,1.62E+12,80,96,30
843,1.62E+12,80,96,30
844,1.62E+12,80,96,30
845,1.62E+12,80,96,30
846,1.62E+12,80,96,30
847,1.62E+12,80,96,30
848,1.62E+12,80,96,30
849,1.62E+12,80,96,30
850,1.62E+12,80,96,30
851,1.62E+12,80,96,30
852,1.62E+12,80,96,30
853,1.62E+12,80,96,30
854,1.62E+12,80,96,30
855,1.62E+12,80,96,30
856,1.62E+12,80,96,30
857,1.62E+12,80,96,30
858,1.62E+12,80,96,30
859,1.62E+12,80,96,30
860,1.62E+12,80,96,30
861,1.62E+12,80,96,30
862,1.62E+12,80,96,30
863,1.62E+12,80,96,30
864,1.62E+12,80,96,30
865,1.62E+12,80,96,30
866,1.62E+12,80,96,30
867,1.62E+12,80,96,30
868,1.62E+12,80,96,30
869,1.62E+12,80,96,30
870,1.62E+12,80,96,30
871,1.62E+12,80,96,30
872,1.62E+12,80,96,30
873,1.62E+12,80,96,30
874,1.62E+12,80,96,30
875,1.62E+12,80,96,30
876,1.62E+12,80,96,30
877,1.62E+12,80,96,30
878,1.62E+12,80,96,30
879,1.62E+12,80,96,30
880,1.62E+12,80,96,30
881,1.62E+12,80,96,30
882,1.62E+12,80,96,30
883,1.62E+12,80,96,30
884,1.62E+12,80,96,30
885,1.62E+12,80,96,30
886,1.62E+12,80,96,30
887,1.62E+12,80,96,30
888,1.62E+12,80,96,30
889,1.62E+12,80,96,30
890,1.62E+12,80,96,30
891,1.62E+12,80,96,30
892,1.62E+12,80,96,30
893,1.62E+12,80,96,30
894,1.62E+12,80,96,30
895,1.62E+12,80,96,30
896,1.62E+12,80,96,30
897,1.62E+12,80,96,30
898,1.62E+12,80,96,30
899,1.62E+12,80,96,30
900,1.62E+12,80,96,30
901,1.62E+12,80,96,30
902,1.62E+12,80,96,30
903,1.62E+12,80,96,30
904,1.62E+12,80,96,30
905,1.62E+12,80,96,30
906,1.62E+12,80,96,30
907,1.62E+12,80,96,30
908,1.62E+12,80,96,30
909,1.62E+12,80,96,30
910,1.62E+12,80,96,30
911,1.62E+12,80,96,30
912,1.62E+12,80,96,30
913,1.62E+12,80,96,30
914,1.62E+12,80,96,30
915,1.62E+12,80,96,30
916,1.62E+12,80,96,30
917,1.62E+12,80,96,30
918,1.62E+12,80,96,30
919,1.62E+12,80,96,30
920,1.62E+12,80,96,30
921,1.62E+12,80,96,30
922,1.62E+12,80,96,30
923,1.62E+12,80,96,30
924,1.62E+12,80,96,30
925,1.62E+12,80,96,30
926,1.62E+12,80,96,30
927,1.62E+12,80,96,30
